feature,importance
num__purchase_month,0.4958040670724378
num__distancia_km_haversine,0.09081930972566932
cat__customer_state_RJ,0.0751132958120441
num__avg_freight,0.06465682308779465
cat__customer_state_SP,0.05334017818612795
num__approval_time_hours,0.04811394822258617
cat__seller_state_SP,0.02646245340733511
num__distancia_aprox,0.024722749480489564
cat__customer_state_MG,0.01868966826624546
num__avg_price,0.013295169289381771
num__avg_product_weight_g,0.01209427144231263
cat__customer_state_PR,0.012024671089811206
cat__seller_state_MA,0.008267600344644929
num__purchase_dayofweek,0.00657314835934369
cat__customer_state_BA,0.005800322993761223
cat__seller_state_RJ,0.005235546047841837
num__payment_value,0.0038940045192983226
num__max_product_volume_cm3,0.003660695564116717
num__item_count,0.003609456467660327
cat__seller_state_RS,0.0034635349458736055
cat__customer_state_AL,0.0033718124012582502
num__avg_product_volume_cm3,0.0028751098309735975
cat__customer_state_ES,0.0027947177639298416
cat__customer_state_MA,0.002169393742762178
num__total_freight,0.0016797755893821428
cat__customer_state_RO,0.001636898737900339
num__total_product_weight_g,0.0013732470390619674
num__total_price,0.001287997073482017
cat__product_category_name_english_small_appliances,0.0012826463976827757
num__payment_installments,0.0012608649962493497
